PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
090010  00026,1971,25,3,FR,Y,MEMPHIS
090010  00027,1971,25,3,FR,Y,MEMPHIS
090006  00016,1972,25,3,FR,Y,MEMPHIS
090010  00028,1971,25,3,FR,Y,MEMPHIS
090010  00071,1971,25,3,FR,Y,MEMPHIS
090010  00029,1971,25,3,FR,Y,MEMPHIS
090010  00025,1971,25,3,FR,Y,MEMPHIS
090010  00030,1971,25,3,FR,Y,MEMPHIS
090002  00148,1972,25,4,AV,Y,MEMPHIS
090002  00282,1971,25,3,FR,Y,MEMPHIS
090010  00031,1971,25,3,FR,Y,MEMPHIS
090010  00032,1971,25,3,FR,Y,MEMPHIS
090006  00024,1971,25,3,FR,Y,MEMPHIS
090006  00010,1972,25,3,FR,Y,MEMPHIS
090010  00070,1971,25,3,FR,Y,MEMPHIS
090002  00146,1972,25,3,FR,Y,MEMPHIS
090006  00011,1972,25,3,FR,Y,MEMPHIS
090006  00017,1972,25,3,FR,Y,MEMPHIS
090002  00109,1945,30,3,FR,Y,MEMPHIS
090002  00133,1972,25,3,FR,Y,MEMPHIS
090010  00066,1971,25,3,FR,Y,MEMPHIS
090010  00065,1971,25,3,FR,Y,MEMPHIS
090010  00064,1971,25,3,FR,Y,MEMPHIS
090010  00033,1971,25,3,FR,Y,MEMPHIS
090002  00144,1972,25,3,FR,Y,MEMPHIS
090010  00063,1971,25,3,FR,Y,MEMPHIS
090002  00284,1971,25,3,FR,Y,MEMPHIS
090010  00062,1971,25,3,FR,Y,MEMPHIS
090010  00061,1971,25,3,AV,Y,MEMPHIS
090011  00003,1950,25,2,VP,Y,MEMPHIS
090011  00004,1957,25,3,AV,Y,MEMPHIS
090011  00005,1944,20,3,FR,Y,MEMPHIS
090011  00005,1944,20,3,FR,Y,MEMPHIS
090002  00134,1973,25,3,FR,Y,MEMPHIS
090006  00021,1972,25,3,FR,Y,MEMPHIS
090006  00020,1972,25,3,FR,Y,MEMPHIS
090006  00019,1972,25,3,FR,Y,MEMPHIS
090002  00142,1972,25,3,FR,Y,MEMPHIS
090010  00034,1971,25,3,FR,Y,MEMPHIS
090002  00285,1971,25,3,AV,Y,MEMPHIS
090011  00006,1951,25,3,FR,Y,MEMPHIS
090002  00141,1972,25,3,FR,Y,MEMPHIS
090010  00060,1971,25,3,FR,Y,MEMPHIS
090026  00003,1935,30,2,FR,NA,MEMPHIS
090010  00035,1971,25,3,FR,Y,MEMPHIS
090002  00286,1971,25,3,FR,Y,MEMPHIS
090029  00013,1920,30,3,FR,Y,MEMPHIS
D0147  L00037,1985,30,3,AV,Y,SHELBY COUNTY
090010  00051,1971,25,3,FR,Y,MEMPHIS
090011  00007,1947,30,3,PR,Y,MEMPHIS
090002  00140,1972,25,3,NA,Y,MEMPHIS
090010  00052,1971,25,3,FR,Y,MEMPHIS
090010  00053,1971,25,3,FR,Y,MEMPHIS
090010  00054,1971,25,3,FR,Y,MEMPHIS
090010  00055,1971,25,3,FR,Y,MEMPHIS
D0147  L00041,1983,30,3,AV,Y,SHELBY COUNTY
090011  00125,1940,30,3,FR,Y,MEMPHIS
090010  00056,1971,25,3,FR,Y,MEMPHIS
090010  00036,1971,25,3,FR,Y,MEMPHIS
090010  00059,1971,25,3,FR,Y,MEMPHIS
090010  00057,1971,25,3,AV,Y,MEMPHIS
090002  00287,1971,25,4,FR,Y,MEMPHIS
090002  00139,1972,25,3,FR,Y,MEMPHIS
090002  00137,1973,25,3,FR,Y,MEMPHIS
090005  00005,1972,25,3,FR,Y,MEMPHIS
090010  00058,1971,25,3,FR,Y,MEMPHIS
090005  00004,1972,25,3,FR,Y,MEMPHIS
090005  00001,1970,25,3,FR,Y,MEMPHIS
D0147  L00042,1985,30,3,AV,Y,SHELBY COUNTY
090005  00002,1972,25,3,FR,Y,MEMPHIS
090005  00003,1972,25,3,VP,Y,MEMPHIS
D0147  L00035,1983,30,3,AV,Y,SHELBY COUNTY
090005  00007,1972,25,3,FR,Y,MEMPHIS
090010  00037,1971,25,3,FR,Y,MEMPHIS
090002  00288,1971,25,3,FR,Y,MEMPHIS
090010  00050,1971,25,3,FR,Y,MEMPHIS
D0147  L00043,1983,30,3,AV,Y,SHELBY COUNTY
D0147  L00032,1984,30,3,AV,Y,SHELBY COUNTY
090002  00138,1972,25,3,AV,Y,MEMPHIS
090002  00131,1973,25,3,FR,Y,MEMPHIS
090010  00048,1971,25,3,FR,Y,MEMPHIS
090005  00008,1972,25,3,AV,Y,MEMPHIS
090010  00047,1971,25,3,FR,Y,MEMPHIS
D0147  L00044,1984,30,3,AV,Y,SHELBY COUNTY
090010  00045,1971,25,3,FR,Y,MEMPHIS
090002  00289,1971,25,3,AV,Y,MEMPHIS
D0147  L00033,1985,30,3,AV,Y,SHELBY COUNTY
090010  00044,1971,25,3,FR,Y,MEMPHIS
090011  00008,2004,25,3,FR,NA,MEMPHIS
090010  00043,1971,25,3,FR,Y,MEMPHIS
090010  00042,1970,25,3,FR,Y,MEMPHIS
